date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:34	120/120	---M-Z	200	added ('OK')	text/plain	date:Tue,%2003%20Sep%202019%2016:51:33%20GMT	https://homesociete.ca/robots.txt		(from )
19:51:34	183968/183968	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:51:34%20GMT	https://homesociete.ca/	C:/My%20Web%20Sites/homesociete/homesociete.ca/index.html	(from )
19:51:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2003%20Sep%202019%2016:51:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/homesociete/www.googletagmanager.com/gtm.05445.delayed	(from https://homesociete.ca/)
19:51:36	4428/4428	---M--	200	added ('OK')	image/png	etag:%22114c-584f0ddea3ed7%22	https://homesociete.ca/themes/homesociete/dist/images/favicons/favicon.png	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/images/favicons/favicon.png	(from https://homesociete.ca/)
19:51:36	2343/2343	---M--	200	added ('OK')	image/png	etag:%22927-584f0ddea3aef%22	https://homesociete.ca/themes/homesociete/dist/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/images/favicons/apple-touch-icon.png	(from https://homesociete.ca/)
19:51:37	1462/1462	---M-Z	200	added ('OK')	image/svg+xml	etag:%225b6-584f0ddea3ed7-gzip%22	https://homesociete.ca/themes/homesociete/dist/images/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/images/favicons/safari-pinned-tab.svg	(from https://homesociete.ca/)
19:51:37	534/534	---M-Z	200	added ('OK')	application/json	etag:%22216-584f0ddeb5c03-gzip%22	https://homesociete.ca/themes/homesociete/resources/site.webmanifest.json	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/resources/site.webmanifest.json	(from https://homesociete.ca/)
19:51:37	29295/29295	---M-Z	200	added ('OK')	text/css	etag:%22726f-58b9cda4a1340-gzip%22	https://homesociete.ca/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	C:/My%20Web%20Sites/homesociete/homesociete.ca/wordpress/wp-includes/css/dist/block-library/style.minbb49.css	(from https://homesociete.ca/)
19:51:38	76382/76382	---M-Z	200	added ('OK')	text/css	etag:%2212a5e-58cb2b28ba949-gzip%22	https://homesociete.ca/themes/homesociete/dist/styles/main.css	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/styles/main.css	(from https://homesociete.ca/)
19:51:38	764/764	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Sep%202019%2016:51:38%20GMT	https://www.google.com/recaptcha/api.js?render=explicit	C:/My%20Web%20Sites/homesociete/www.google.com/recaptcha/apib091.js	(from https://homesociete.ca/)
19:51:39	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2003%20Sep%202019%2016:51:38%20GMT	https://homesociete.ca/wordpress/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/homesociete/homesociete.ca/wordpress/wp-admin/admin-ajax.php	(from https://homesociete.ca/)
